site,quads,tree_cover,shrub_cover,ground_cover,crust_cover,vegetation_condition,crust_richness,Acmu,Acsp,Asdr,Baca,Baha,Baho,Brar,Brbi,Brce,Brdi,Brpa,Brsp,BrspC,Cala,Cals,Capi,Casq,Cepu,Clsp,Coco,Deco,Dito,Ecpu,Enpu,Enro,Ensi,Fosp,Fusp,Gire,Goen,Hede,Leoc,Lepr,Lesp,Pepa,Phro,Pobr,Psde,Ricr,Rila,Rili,Rini,Sico,Stol,Topa,Trco,Xafl
5,1,11,44,39,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,13,11,14,2.4,70.83333333,16,0,0,0,0,0,3,4,0,0,4,2,0,1,0,0,0,0,0,0,0,3,0,0,4,1,2,0,0,0,4,1,0,0,1,1,2,0,0,1,0,0,2,0,0,0,0,0
8,2,3,17,48,7.6,58.33333333,10,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0
9,4,31,6,32,2.7,66.66666667,19,0,0,0,0,2,0,1,2,0,1,3,0,2,0,0,0,0,1,0,2,3,0,0,2,0,0,0,2,0,3,1,0,0,0,1,2,0,0,0,2,2,0,0,1,2,0,0
10,1,8,14,40,1.4,54.16666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2,22,39,0,54.16666667,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,18,15,46,11.5,70.83333333,18,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,1,0,0,3,3,0,0,4,1,2,0,0,0,4,2,0,0,0,3,3,1,0,1,0,3,3,0,0,0,3,0
13,1,1,11,94,0,58.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,10,23,28,21,66.66666667,16,0,0,0,2,0,4,3,0,0,0,2,4,3,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,2,0,0,0,2,3,2,4,0,0,0,0,0
15,2,28,29,30,6.5,66.66666667,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0
17,2,0,35,28,3.1,54.16666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
19,2,11,5,46,21.6,58.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,9,15,60,27.9,66.66666667,18,0,0,0,0,0,0,3,0,0,0,1,2,3,0,0,0,1,0,0,2,1,0,0,3,0,2,0,0,0,3,1,0,0,0,3,3,1,0,1,3,4,3,0,0,0,0,0
21,3,10,15,61,19.6,66.66666667,18,0,0,0,0,0,0,3,0,0,0,1,2,2,0,0,0,0,0,0,2,3,0,0,3,0,2,0,0,0,3,1,0,0,0,3,3,1,3,1,1,3,1,0,0,0,0,0
22,2,4,16,49,4.5,70.83333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23,2,1,20,37,8.9,58.33333333,7,0,0,0,0,0,0,3,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
25,2,0,10,49,16.3,54.16666667,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
26,1,5,12,43,0.4,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,9,20,24,20,66.66666667,11,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,4,0,0,0,0,2,4,0,0,0,2,2,0,0,0,0,0,0
31,1,6,11,46,10.6,62.5,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,4,0,1,1,3,1,0,0,0,2,0,0,2,0,0,3,0,0,0,0,1,2
32,3,17,10,51,18.8,70.83333333,21,0,0,0,4,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,3,0,1,1,3,3,0,0,1,2,2,0,3,0,0,4,0,2,0,0,4,1
35,4,1,8,59,38.8,54.16666667,27,0,1,2,3,2,2,3,0,1,2,2,0,3,0,0,0,0,0,0,3,3,2,0,4,1,3,3,1,1,2,1,0,2,0,3,2,2,0,0,2,2,0,0,0,0,0,0
37,2,30,22,32,1.9,66.66666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
41,1,10,22,43,2.8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,25,3,38,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,0,6,48,36.6,50,15,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,1,0,0,0,2,0,0,0,3,0,2,1,0,0,3,1,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0,0
48,2,27,20,35,7,70.83333333,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,2,0,4,67,21,54.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,9,14,50,53.7,66.66666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
52,3,0,14,42,52,54.16666667,18,1,0,1,1,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,3,2,0,0,0,2,4,0,0,0,1,3,0,0,0,0,0,0
60,2,13,11,44,2.5,66.66666667,13,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,3,0,2,0,0,0,2,0,0,0,0,4,3,0,0,2,1,1,0,0,0,0,0,0
62,3,28,13,31,28.3,70.83333333,20,0,0,0,4,0,4,3,0,0,0,0,0,3,0,2,0,0,0,2,3,3,0,3,3,0,3,0,0,0,3,1,3,0,0,2,4,0,0,3,2,2,1,0,0,0,0,0
66,2,37,9,69,0.2,70.83333333,11,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,0
67,4,35,6,56,12.7,75,18,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,3,0,3,1,0,2,3,4,0,0,3,2,2,0,3,0,3,3,0,0,0,1,0,0
68,3,0,19,21,14.7,45.83333333,9,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,1,2,2,0,0,0,0,0
69,3,49,20,37,3.4,75,17,3,0,0,3,2,0,3,0,0,0,2,0,3,0,0,0,0,3,0,0,4,0,0,4,0,2,0,3,4,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3
70,2,33,14,61,1.4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,37,10,60,0.2,54.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,30,16,59,6.5,66.66666667,15,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,1,0,0,1,0,0,0,3,0,2,3,0,4,3,0,0,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0
73,2,0,39,19,4.2,45.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3,18,10,53,9.5,70.83333333,14,0,0,0,0,0,0,4,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,2,3,0,0,2,1,2,0,0,1,0,0,0
75,1,16,21,45,0.2,58.33333333,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
80,2,1,4,55,14.3,50,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0
